RESULT FOR SECTION 0:
Project#35: 35 43 19 39 42 
Project#23: 11 26 21 40 15 
Project#16: 16 25 22 28 46 
Project#20: 33 12 27 13 4 
Project#30: 45 5 41 47 9 

RESULT FOR SECTION 0:
Project#1: 49 2 36 50 34 
Project#12: 44 18 10 23 38 
Project#40: 37 3 6 24 48 
Project#41: 31 29 14 1 7 
Project#31: 17 32 30 8 20 

 
RESULT FOR SECTION 1:
Project#36: 58 65 88 84 83 
Project#17: 77 62 86 74 96 
Project#13: 66 90 87 56 51 
Project#3: 57 71 85 59 55 
Project#7: 75 64 68 52 60 

 
RESULT FOR SECTION 1:
Project#29: 76 73 98 80 67 
Project#34: 89 54 100 69 94 
Project#24: 95 81 78 99 72 
Project#22: 79 92 97 63 53 
Project#5: 61 82 91 70 93 

RESULT FOR SECTION 2:
Project#38: 124 113 144 132 106 
Project#21: 116 103 135 136 149 
Project#8: 141 122 111 126 129 
Project#18: 120 125 138 128 150 

RESULT FOR SECTION 2:
Project#14: 127 117 110 104 140 
Project#26: 142 143 115 137 123 
Project#4: 148 130 121 112 107 

RESULT FOR SECTION 2:
Project#6: 145 101 134 102 139 
Project#33: 108 105 147 119 146 
Project#28: 114 131 109 118 133 

RESULT FOR SECTION 3:
Project#39: 168 192 166 197 180 
Project#32: 154 175 195 190 169 
Project#25: 159 187 182 160 186 

RESULT FOR SECTION 3:
Project#19: 185 198 183 153 174 
Project#27: 177 173 170 189 171 
Project#42: 151 196 181 165 194 
Project#37: 156 162 164 161 184 

RESULT FOR SECTION 3:
Project#11: 155 158 157 152 176 
Project#2: 167 193 172 178 188 
Project#15: 200 163 199 191 179 

